Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
882,59-51-8,N(C(C(=O)O[H])(C(C(SC([H])([H])[H])([H])[H])([H])[H])[H])([H])[H],O=C(O)C(N)CCSC,,N/A,2.81,N/A,228.9,bmse000915
883,150-13-0,[H]C1=C([H])C(=C([H])C([H])=C1C(=O)O[H])N([H])[H],O=C(O)C1=CC=C(N)C=C1,,N/A,2.85,N/A,192.31,bmse000916
884,118-92-3,C1(=C(C(=C(C(=C1[H])C(O[H])=O)N([H])[H])[H])[H])[H],O=C(O)C=1C=CC=CC1N,,N/A,2.84,N/A,196.95,bmse000917
885,C_CZMRCDWAGMRECN-UHFFFAOYSA-N,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC2(C(C(C(C(O[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])C(O[H])([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(OC2(OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,2.02,N/A,3297.45,bmse000918
886,7200-25-1,N(C(C(=O)O[H])(C(C(C(N=C(N([H])[H])N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H],O=C(O)C(N)CCCNC(=N)N,,N/A,N/A,N/A,N/A,bmse000919
887,328-39-2,N(C(C(=O)O[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000920
888,150-30-1,C1(=C(C(=C(C(=C1[H])[H])C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])[H])[H])[H],O=C(O)C(N)CC=1C=CC=CC1,,N/A,3.09,N/A,133.66,bmse000921
889,6917-35-7,C1(C(C(C(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],OC1C(O)C(O)C(O)C(O)C1O,,N/A,1.21,N/A,11010.92,bmse000922
890,300-30-1,IC1=C(C(C(C(N([H])[H])(C(O[H])=O)[H])([H])[H])=C(C(I)=C1OC2=C(C(I)=C(O[H])C(I)=C2[H])[H])[H])[H],O=C(O)C(N)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,,N/A,8.42,N/A,2.97E-03,bmse000923
891,22916-47-8,ClC1=C(C(OC(C2=C(Cl)C(=C(Cl)C(=C2[H])[H])[H])([H])[H])(C(N3C(=C(N=C3[H])[H])[H])([H])[H])[H])C(=C(C(Cl)=C1[H])[H])[H],ClC1=CC=C(C(Cl)=C1)COC(C2=CC=C(Cl)C=C2Cl)CN3C=NC=C3,,N/A,6.52,N/A,0.13,bmse000924
892,586-96-9,O=NC1=C(C(=C(C(=C1[H])[H])[H])[H])[H],O=NC=1C=CC=CC1,,N/A,N/A,N/A,N/A,bmse000925
893,2091-29-4,O(C(=O)C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],O=C(O)CCCCCCCC=CCCCCCC,,N/A,5.7,N/A,0.51,bmse000926
894,NOCAS_861647,S(O[H])(=O)(=O)C(C(N(C(=O)C(C(C(C1(C2(C(C3(C(C4(C(C(C3(O[H])[H])([H])[H])(C(C(O[H])(C(C4([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])(C(C2(O[H])[H])([H])[H])[H])[H])(C(C1([H])[H])([H])[H])[H])C([H])([H])[H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H],O=C(NCCS(=O)(=O)O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,,N/A,5.14,N/A,3.74,bmse000927
895,137-26-8,S(SC(=S)N(C([H])([H])[H])C([H])([H])[H])C(=S)N(C([H])([H])[H])C([H])([H])[H],S=C(SSC(=S)N(C)C)N(C)C,,7.04,4.48,2.17E-02,7.92,bmse000928
896,554-52-9,O(C=1C(=C(C(C(N([H])[H])([H])[H])([H])[H])C(=C(C1O[H])[H])[H])[H])C([H])([H])[H],,Structure can't be parsed,,,,,bmse000929
897,82-82-6,O(C1=C(C(C(O[H])([H])[H])=C(N=C1C([H])([H])[H])[H])C(O[H])=O)[H],O=C(O)C1=C(O)C(=NC=C1CO)C,,N/A,2.69,N/A,372.58,bmse000930
898,C_UHBLMEYLVXEIPM-UHFFFAOYSA-N,O(C(=O)C(N([H])[H])(C(C(C(NC(N(C(C(C(O[H])=O)([H])[H])(C(O[H])=O)[H])[H])=N([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],[H]OC(=O)C([H])([H])C([H])(N([H])C(NC([H])([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H])=N([H])[H])C(=O)O[H],,N/A,N/A,N/A,N/A,bmse000931
899,5652-28-8,P(O[H])(O[H])(=O)C(C(N([H])[H])(C(O[H])=O)[H])([H])[H],O=C(O)C(N)CP(=O)(O)O,,N/A,3.82,N/A,25.39,bmse000932
900,51-61-6,O(C=1C(=C(C(C(N([H])[H])([H])[H])([H])[H])C(=C(C1O[H])[H])[H])[H])[H],OC1=CC=C(C=C1O)CCN,,N/A,3.42,N/A,57.82,bmse000933
901,138-81-8,P(OC(C(O[H])=O)(C(OP(O[H])(O[H])=O)([H])[H])[H])(O[H])(O[H])=O,O=C(O)C(OP(=O)(O)O)COP(=O)(O)O,,N/A,3.42,N/A,101.04,bmse000934
902,NOCAS_862572,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],,Structure can't be parsed,,,,,bmse000935
903,306-60-5,N(C(C(C(C(N=C(N([H])[H])N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],N=C(N)NCCCCN,,N/A,N/A,N/A,N/A,bmse000936
904,328-50-7,C(C(=O)C(C(C(=O)O[H])([H])[H])([H])[H])(=O)O[H],O=C(O)C(=O)CCC(=O)O,,N/A,2.44,N/A,533.62,bmse000937
905,5965-66-2,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC2(C(C(C(O[H])(OC2(C(O[H])([H])[H])[H])[H])(O[H])[H])(O[H])[H])[H])[H],OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,,N/A,2.25,N/A,1940.75,bmse000938
906,5965-66-2,C1(C(OC(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,,N/A,2.25,N/A,1940.75,bmse000939
907,66-22-8,O=C1N(C(=O)C(=C(N1[H])[H])[H])[H],O=C1C=CNC(=O)N1,,N/A,1.93,N/A,1308.92,bmse000940
908,10043-35-3,O(B(O[H])O[H])[H],OB(O)O,Molecule contains unsupported element,,,,,bmse000941
909,C_VGONTNSXDCQUGY-UHFFFAOYSA-N,O1C(N2C=3N(C(=NC(=O)C3N=C2[H])[H])[H])(C(C(O[H])(C1(C(O[H])([H])[H])[H])[H])([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C(=O)N=C([H])N([H])C32)C([H])([H])C1([H])O[H],,N/A,N/A,N/A,N/A,bmse000942
910,2504-22-5,O(C1=C(C=2C(C(C(N([H])[H])(C(O[H])=O)[H])([H])[H])=C(N(C2C(=C1[H])[H])[H])[H])[H])C([H])([H])[H],O=C(O)C(N)CC1=CNC=2C=CC(OC)=CC21,,N/A,4.16,N/A,16.1,bmse000943
911,141-97-9,O(C(C([H])([H])[H])([H])[H])C(=O)C(C(=O)C([H])([H])[H])([H])[H],O=C(OCC)CC(=O)C,,N/A,2.81,N/A,199.88,bmse000944
912,525-82-6,O1C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])=C(C(=O)C=3C1=C(C(=C(C3[H])[H])[H])[H])[H],O=C1C=C(OC=2C=CC=CC12)C=3C=CC=CC3,,4.8,5.33,3.5,1.05,bmse000945
913,5965-66-2,C1(C(OC(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,,N/A,2.25,N/A,1940.75,bmse000946
914,609-36-9,N1(C(C(=O)O[H])(C(C(C1([H])[H])([H])[H])([H])[H])[H])[H],O=C(O)C1NCCC1,,N/A,2.41,N/A,451.79,bmse000947
915,107-43-7,C([N+](C(C(=O)[O-])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])([H])[H],O=C([O-])C[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000948
916,461-06-3,C([N+](C([H])([H])[H])(C([H])([H])[H])C(C(O[H])(C(C(O[H])=O)([H])[H])[H])([H])[H])([H])([H])[H],O=C([O-])CC(O)C[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000949
917,57-00-1,C(N(C(C(=O)O[H])([H])[H])C([H])([H])[H])(=N[H])N([H])[H],O=C(O)CN(C(=N)N)C,,N/A,N/A,N/A,N/A,bmse000950
918,124-20-9,N(C(C(C(C(N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],NCCCNCCCCN,,N/A,3.2,N/A,90.93,bmse000951
919,NOCAS_859082,N(C(C(=O)O[H])(C(C(C(=O)N(C(C(=O)N(C(C(=O)O[H])([H])[H])[H])(C(S[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000952
920,62-49-7,O(C(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H],OCC[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000953
921,138-81-8,P(OC(C(O[H])=O)(C(OP(O[H])(O[H])=O)([H])[H])[H])(O[H])(O[H])=O,O=C(O)C(OP(=O)(O)O)COP(=O)(O)O,,N/A,3.42,N/A,101.04,bmse000954
922,124-20-9,N(C(C(C(C(N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],NCCCNCCCCN,,N/A,3.2,N/A,90.93,bmse000955
923,NOCAS_859082,N(C(C(=O)O[H])(C(C(C(=O)N(C(C(=O)N(C(C(=O)O[H])([H])[H])[H])(C(S[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000956
924,660-88-8,O(C(=O)C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],O=C(O)CCCCN,,N/A,2.54,N/A,340.87,bmse000957
925,554-52-9,O(C=1C(=C(C(C(N([H])[H])([H])[H])([H])[H])C(=C(C1O[H])[H])[H])[H])C([H])([H])[H],,Structure can't be parsed,,,,,bmse000958
926,C_UHBLMEYLVXEIPM-UHFFFAOYSA-N,O(C(=O)C(N([H])[H])(C(C(C(NC(N(C(C(C(O[H])=O)([H])[H])(C(O[H])=O)[H])[H])=N([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],[H]OC(=O)C([H])([H])C([H])(N([H])C(NC([H])([H])C([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H])=N([H])[H])C(=O)O[H],,N/A,N/A,N/A,N/A,bmse000959
927,204841-19-0,O=C(C=1C(=C(C(=C(C1[H])[H])[H])B(O[H])O[H])[H])C([H])([H])[H],O=C(C=1C=CC=C(C1)B(O)O)C,Molecule contains unsupported element,,,,,bmse000960
928,1491-95-8,S(OC1(C(C=2C(C3(C(C4(C(C(C(C4([H])[H])([H])[H])(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])(C(C3([H])[H])([H])[H])C([H])([H])[H])[H])(C(C2[H])([H])[H])[H])[H])(C(C1([H])[H])([H])[H])C([H])([H])[H])([H])[H])[H])(O[H])(=O)=O,O=S(=O)(O)OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1,,N/A,6.65,N/A,0.1,bmse000961
929,1194-98-5,O(C1=C(C(=C(O[H])C(=C1[H])[H])[H])C(=O)[H])[H],O=CC1=CC(O)=CC=C1O,,N/A,4.07,N/A,11.7,bmse000962
930,1195-92-2,O1C2(C1(C(C(C(C2([H])[H])([H])[H])(C(C([H])([H])[H])=C([H])[H])[H])([H])[H])[H])C([H])([H])[H],,Structure can't be parsed,,,,,bmse000963
931,13877-91-3,C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])(C(=C(C([H])([H])[H])C(=C([H])[H])[H])[H])([H])[H],C=CC(=CCC=C(C)C)C,,N/A,5.22,N/A,0.82,bmse000964
932,686298-95-3,C1(C(C(C(C(O1)([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],,Structure can't be parsed,,,,,bmse000965
933,6912-67-0,C1(C(C(C(N1[H])([H])[H])(O[H])[H])([H])[H])(C(O[H])=O)[H],,Structure can't be parsed,,,,,bmse000966
934,107-95-9,C(C(C(N([H])[H])([H])[H])([H])[H])(=O)O[H],O=C(O)CCN,,N/A,2.06,N/A,774.48,bmse000967
935,110-15-6,C(=O)(C(C(C(=O)O[H])([H])[H])([H])[H])O[H],O=C(O)CCC(=O)O,,N/A,2.66,N/A,260.89,bmse000968
936,NOCAS_859078,C1(=C(N(C(N=C1N([H])[H])=O)C2(C(C(C(C(O[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000969
937,111-87-5,O(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],OCCCCCCCC,,3.98,4.07,13.51,11.07,bmse000970
938,123-00-2,O1C(C(N(C(C1([H])[H])([H])[H])C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],O1CCN(CC1)CCCN,,N/A,1.82,N/A,2159.11,bmse000971
939,123-72-8,O=C(C(C(C([H])([H])[H])([H])[H])([H])[H])[H],O=CCCC,,3.65,3.67,16,15.4,bmse000972
940,5959-36-4,O(C(=O)C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H],O=C(OCC)CCCN,,N/A,2.98,N/A,138.75,bmse000973
941,120-29-6,O(C1(C(C2(N(C(C(C2([H])[H])([H])[H])(C1([H])[H])[H])C([H])([H])[H])[H])([H])[H])[H])[H],OC1CC2N(C)C(CC2)C1,,N/A,2.57,N/A,380.49,bmse000974
942,3374-22-9,N(C(C(=O)O[H])(C(S[H])([H])[H])[H])([H])[H],O=C(O)C(N)CS,,N/A,2.73,N/A,223.43,bmse000975
943,7230-69-5,C1(=C(C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])N(C(=N1)[H])[H])[H],O=C(O)C([NH3+])CC1=C[NH+]=CN1,,N/A,N/A,N/A,N/A,bmse000976
944,56-40-6,C(=O)(O[H])C(N([H])[H])([H])[H],O=C(O)CN,,N/A,1.65,N/A,1679.39,bmse000977
945,C_UGQMRVRMYYASKQ-UHFFFAOYSA-N,O(C(C1(OC(N2C=3N(C(=NC(=O)C3N=C2[H])[H])[H])(C(O[H])(C1(O[H])[H])[H])[H])[H])([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C(=O)N=C([H])N([H])C32)C([H])(O[H])C1([H])O[H],,N/A,N/A,N/A,N/A,bmse000978
946,50-21-5,C(C(C([H])([H])[H])(O[H])[H])(=O)O[H],O=C(O)C(O)C,,N/A,1.73,N/A,1662.85,bmse000979
947,111-87-5,O(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],OCCCCCCCC,,3.98,4.07,13.51,11.07,bmse000980
948,123-00-2,O1C(C(N(C(C1([H])[H])([H])[H])C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],O1CCN(CC1)CCCN,,N/A,1.82,N/A,2159.11,bmse000981
949,3237-44-3,O(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C(O[H])=O)([H])[H])C(O[H])=O)[H],O=C(O)CC(O)(C(=O)O)C(C)C,,N/A,2.59,N/A,448.66,bmse000982
950,4985-36-8,O(C(C(N([H])[H])(C(O[H])=O)[H])([H])[H])C(=O)C([H])([H])[H],O=C(O)C(N)COC(=O)C,,N/A,2.83,N/A,216.47,bmse000983
951,10310-21-1,ClC1=NC(=NC=2N=C(N(C21)[H])[H])N([H])[H],ClC1=NC(=NC=2N=CNC12)N,,N/A,2.98,N/A,178.16,bmse000984
952,4250-77-5,O1C(C(C(=O)C2=C1C(=C(C(O[H])=C2[H])[H])[H])([H])[H])(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H],O=C1C2=CC(O)=CC=C2OC(C=3C=CC=CC3)C1,,N/A,5.22,N/A,1.44,bmse000985
953,305-01-1,O1C=2C(=C(C(O[H])=C(O[H])C2[H])[H])C(=C(C1=O)[H])[H],O=C1OC=2C=C(O)C(O)=CC2C=C1,,N/A,3.95,N/A,20.21,bmse000986
954,NOCAS_859244,FC12C(C3(C(C(O[H])(C(C3([H])[H])([H])[H])C(=O)C(O[H])([H])[H])(C(C1(O[H])[H])([H])[H])C([H])([H])[H])[H])(C(C(C=4C2(C(C(C(=O)C4[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H],,Structure can't be parsed,,,,,bmse000987
955,6028-00-8,O=C1C(=C2N(C=3C(C(C(N(C3C([H])([H])[H])[H])([H])[H])([H])[H])=C2C(=C1[H])[H])[H])[H],O=C1C=CC=2C(=C1)NC3=C(NCCC23)C,,N/A,3.91,N/A,24.89,bmse000988
956,C_CWPGNVFCJOPXFB-UHFFFAOYSA-N,O(C1=C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])C(=O)C(=O)C=2C1=C(C(=C(C2[H])[H])[H])[H])[H],[H]OC=1C=2C([H])=C([H])C([H])=C([H])C2C(=O)C(=O)C1C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H],,N/A,5.49,N/A,0.78,bmse000989
957,660-88-8,O(C(=O)C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],O=C(O)CCCCN,,N/A,2.54,N/A,340.87,bmse000990
958,NOCAS_862572,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],,Structure can't be parsed,,,,,bmse000991
959,NOCAS_859046,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],,Structure can't be parsed,,,,,bmse000992
960,C_ZKHQWZAMYRWXGA-UHFFFAOYSA-N,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(=O)OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],[H]OC1([H])C([H])(O[H])C([H])(OC1([H])N2C([H])=NC=3C(=NC([H])=NC32)N([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],,N/A,N/A,N/A,N/A,bmse000993
961,302-72-7,N(C(C(=O)O[H])(C([H])([H])[H])[H])([H])[H],O=C(O)C(N)C,,N/A,2.29,N/A,453.92,bmse000994
962,73-24-5,C=1(N(C2=C(N([H])[H])N=C(N=C2N1)[H])[H])[H],N=1C=NC=2NC=NC2C1N,,N/A,2.51,N/A,415.07,bmse000995
963,C_OIRDTQYFTABQOQ-UHFFFAOYSA-N,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(O[H])([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C(=NC([H])=NC32)N([H])[H])C([H])(O[H])C1([H])O[H],,N/A,2.28,N/A,1400.09,bmse000996
964,107-43-7,C([N+](C(C(=O)[O-])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])([H])[H],O=C([O-])C[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000997
965,C_WTFXTQVDAKGDEY-UHFFFAOYSA-N,C1(C(=C(C(=C(C1(O[H])[H])[H])[H])C(O[H])=O)[H])(OC(C(O[H])=O)=C([H])[H])[H],[H]OC(=O)C(OC1([H])C([H])=C(C([H])=C([H])C1([H])O[H])C(=O)O[H])=C([H])[H],,N/A,3.65,N/A,51.01,bmse000998
966,57-00-1,C(N(C(C(=O)O[H])([H])[H])C([H])([H])[H])(=N[H])N([H])[H],O=C(O)CN(C(=N)N)C,,N/A,N/A,N/A,N/A,bmse000999
967,12607-92-0,C(C(=O)N(C(C(C(C(=O)N([H])[H])([H])[H])([H])[H])(C(=O)O[H])[H])[H])([H])([H])[H],O=C(O)C(N=C([O-])C)CCC(=N)O,,N/A,N/A,N/A,N/A,bmse001000
968,60-27-5,C(N1C(C(N=C1N([H])[H])=O)([H])[H])([H])([H])[H],O=C1NC(=N)N(C)C1,,N/A,N/A,N/A,N/A,bmse001001
969,108333-82-0,C1(=C(C(C(C(O[H])=O)(N(C(C(C(N([H])[H])([H])[H])([H])[H])=O)[H])[H])([H])[H])N(C(=N1)[H])[H])[H],,Structure can't be parsed,,,,,bmse001002
970,62-49-7,O(C(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H],OCC[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse001003
971,C_MYYIAHXIVFADCU-UHFFFAOYSA-N,O(C(=O)C(N(C(=O)C(C(N([H])[H])([H])[H])([H])[H])[H])(C(C=1N(C(=NC1[H])[H])C([H])([H])[H])([H])[H])[H])[H],[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])C([H])([H])N([H])[H])C([H])([H])C1=C([H])N=C([H])N1C([H])([H])[H],,N/A,2.08,N/A,1980.52,bmse001004
972,C_RFSUNEUAIZKAJO-UHFFFAOYSA-N,C1(C(C(C(O1)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],[H]OC([H])([H])C1([H])OC(O[H])(C([H])([H])O[H])C([H])(O[H])C1([H])O[H],,N/A,0.57,N/A,48171.97,bmse001005
973,42752-07-8,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse001006
974,608-66-2,C(C(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])([H])[H],OCC(O)C(O)C(O)C(O)CO,,N/A,1.12,N/A,13974.41,bmse001007
975,42752-07-8,C1(C(C(C(C(O1)(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H],,Structure can't be parsed,,,,,bmse001008
976,NOCAS_859244,FC12C(C3(C(C(O[H])(C(C3([H])[H])([H])[H])C(=O)C(O[H])([H])[H])(C(C1(O[H])[H])([H])[H])C([H])([H])[H])[H])(C(C(C=4C2(C(C(C(=O)C4[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H],,Structure can't be parsed,,,,,bmse001009
977,6028-00-8,O=C1C(=C2N(C=3C(C(C(N(C3C([H])([H])[H])[H])([H])[H])([H])[H])=C2C(=C1[H])[H])[H])[H],O=C1C=CC=2C(=C1)NC3=C(NCCC23)C,,N/A,3.91,N/A,24.89,bmse001010
978,67-42-5,O(C(C(N(C(C(O[H])=O)([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])C(C(OC(C(N(C(C(O[H])=O)([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],O=C(O)CN(CC(=O)O)CCOCCOCCN(CC(=O)O)CC(=O)O,,N/A,3.01,N/A,370.97,bmse001011
979,C_RFSUNEUAIZKAJO-UHFFFAOYSA-N,C1(C(C(C(O1)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],[H]OC([H])([H])C1([H])OC(O[H])(C([H])([H])O[H])C([H])(O[H])C1([H])O[H],,N/A,0.57,N/A,48171.97,bmse001012
980,617-65-2,C(=O)(C(C(C(C(=O)O[H])([H])[H])([H])[H])(N([H])[H])[H])O[H],O=C(O)CCC(N)C(=O)O,,N/A,2.73,N/A,277.1,bmse001013
981,4/3/6899,N(C(C(=O)O[H])(C(C(C(=O)N([H])[H])([H])[H])([H])[H])[H])([H])[H],O=C(O)C(N)CCC(=O)N,,N/A,2.76,N/A,254.28,bmse001014
982,7230-69-5,C1(=C(C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])N(C(=N1)[H])[H])[H],O=C(O)C([NH3+])CC1=C[NH+]=CN1,,N/A,N/A,N/A,N/A,bmse001015
983,150-30-1,C1(=C(C(=C(C(=C1[H])[H])C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])[H])[H])[H],O=C(O)C(N)CC=1C=CC=CC1,,N/A,3.09,N/A,133.66,bmse001016
984,54-12-6,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])[H])[H])[H],O=C(O)C(N)CC1=CNC=2C=CC=CC21,,N/A,4.1,N/A,16.14,bmse001017
985,NOCAS_901952,O1C(N2C=3N(C(=NC(=O)C3N=C2[H])N([H])[H])[H])(C(O[H])(C(O[H])(C1(C(O[H])([H])[H])[H])[H])[H])[H],OC1=NC(=NC2=C1N=CN2C3OC(CO)C(O)C3O)N,,N/A,2.55,N/A,804.89,bmse001018
986,107-95-9,C(C(C(N([H])[H])([H])[H])([H])[H])(=O)O[H],O=C(O)CCN,,N/A,2.06,N/A,774.48,bmse001019
987,NOCAS_859078,C1(=C(N(C(N=C1N([H])[H])=O)C2(C(C(C(C(O[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse001020
988,739-27-5,O=C1C2(C3(C(C(C(C2(C4(C(C1([H])[H])(C(=O)C(C4([H])[H])([H])[H])C([H])([H])[H])[H])[H])([H])[H])([H])[H])(C(C(O[H])(C(C3([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H],O=C1CC2(C(=O)CCC2C3CCC4CC(O)CCC4(C)C13)C,,N/A,4.5,N/A,9.7,bmse001021
989,C_CBOKZNLSFMZJJA-UHFFFAOYSA-N,O1C(N2C(=O)C(=C(O[H])C(=C2[H])[H])[H])(C(O[H])(C(O[H])(C1(C(O[H])([H])[H])[H])[H])[H])[H],[H]OC=1C([H])=C([H])N(C(=O)C1[H])C2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H],,N/A,1.84,N/A,3507.63,bmse001022
