Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
27,617-45-8,N(C(C(=O)O[H])(C(C(=O)O[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000031
28,NOCAS_861910,C(=O)(O[H])C(N([H])[H])(C(C(C(N(C(=O)N([H])[H])[H])([H])[H])([H])[H])([H])[H])[H],O=C(N)NCCCC(N)C(=O)O,,N/A,2.11,N/A,1371.43,bmse000032
29,NOCAS_861587,C(C(C(SC(C(C(O[H])=O)(N([H])[H])[H])([H])[H])([H])[H])([H])[H])(C(O[H])=O)(N([H])[H])[H],O=C(O)C(N)CSCCC(N)C(=O)O,,N/A,2.93,N/A,258.9,bmse000033
30,3374-22-9,N(C(C(=O)O[H])(C(S[H])([H])[H])[H])([H])[H],O=C(O)C(N)CS,,N/A,2.73,N/A,223.43,bmse000034
31,6020-39-9,C(C(SSC(C(C(O[H])=O)(N([H])[H])[H])([H])[H])([H])[H])(C(O[H])=O)(N([H])[H])[H],O=C(O)C(N)CSSCC(N)C(=O)O,,N/A,3.43,N/A,89.72,bmse000035
32,97466-79-0,O(C1(C(C(C(C(C([H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H],OC1OC(C)C(O)C(O)C1O,,N/A,1.14,N/A,11968.72,bmse000036
33,617-65-2,C(=O)(C(C(C(C(=O)O[H])([H])[H])([H])[H])(N([H])[H])[H])O[H],O=C(O)CCC(N)C(=O)O,,N/A,2.73,N/A,277.1,bmse000037
34,4/3/6899,N(C(C(=O)O[H])(C(C(C(=O)N([H])[H])([H])[H])([H])[H])[H])([H])[H],O=C(O)C(N)CCC(=O)N,,N/A,2.76,N/A,254.28,bmse000038
35,7230-69-5,C1(=C(C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])N(C(=N1)[H])[H])[H],O=C(O)C([NH3+])CC1=C[NH+]=CN1,,N/A,N/A,N/A,N/A,bmse000039
36,1927-25-9,N(C(C(=O)O[H])(C(C(O[H])([H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000040
37,443-79-8,C(C(C(C(=O)O[H])(N([H])[H])[H])(C([H])([H])[H])[H])(C([H])([H])[H])([H])[H],O=C(O)C(N)C(C)CC,,N/A,2.6,N/A,331.75,bmse000041
38,328-39-2,N(C(C(=O)O[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000042
39,70-54-2,N(C(C(=O)O[H])(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000043
40,59-51-8,N(C(C(=O)O[H])(C(C(SC([H])([H])[H])([H])[H])([H])[H])[H])([H])[H],O=C(O)C(N)CCSC,,N/A,2.81,N/A,228.9,bmse000044
41,150-30-1,C1(=C(C(=C(C(=C1[H])[H])C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])[H])[H])[H],O=C(O)C(N)CC=1C=CC=CC1,,N/A,3.09,N/A,133.66,bmse000045
42,6915-15-7,C(C(=O)O[H])(C(C(=O)O[H])(O[H])[H])([H])[H],O=C(O)CC(O)C(=O)O,,N/A,2.22,N/A,800.25,bmse000046
43,609-36-9,N1(C(C(=O)O[H])(C(C(C1([H])[H])([H])[H])([H])[H])[H])[H],O=C(O)C1NCCC1,,N/A,2.41,N/A,451.79,bmse000047
44,302-84-1,N(C(C(=O)O[H])(C(O[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000048
45,80-68-2,C(C(C(C(=O)O[H])(N([H])[H])[H])(O[H])[H])([H])([H])[H],O=C(O)C(N)C(O)C,,N/A,2.01,N/A,1168.46,bmse000049
